,word
509,Hotfix
510,Headphones
511,Hostname
512,High-Level Language
513,HDR
514,High Sierra
515,Hash
516,Hypervisor
517,IDE
518,IEEE
519,Intranet
520,IP
521,IP Address
522,IPX
523,IRC
524,ISDN
525,ISP
526,IRQ
527,Icon
528,IM
529,IT
530,I/O
531,IMAP
532,Illegal Operation
533,iPod
534,iTunes
535,Impression
536,IVR
537,Infotainment
538,Install
539,Installer
540,ICS
541,ICF
542,Integrated Circuit
543,Inkjet
544,InterNIC
545,ISA
546,ISO
547,Interlaced
548,Integer
549,I/O Address
550,IGP
551,ICANN
552,ICMP
553,IPv4
554,IPv6
555,Input
556,IBM Compatible
557,Inbox
558,Intellectual Property
559,Index
560,Iteration
561,Input Device
562,iSCSI
563,Interface
564,ICQ
565,ICT
566,Internal Hard Drive
567,Impact Printer
568,Import
569,Interpreter
570,Insertion Point
571,Interactive Video
572,iPhone
573,iPad
574,iOS
575,IIS
576,Instagram
577,IDS
578,IPS
579,Integrated
580,Internet of Things
581,Iframe
582,iCloud
583,Internet
584,ISR
585,ITIL
586,IOPS
587,Interrupt
588,Irrational Number
589,IMEI
590,Java
591,JavaScript
592,JPEG
593,Jumper
594,JSP
595,JRE
596,Joystick
597,JSON
598,JFS
599,JSF
600,jQuery
601,JVM
602,JDBC
603,Kbps
604,Kernel
605,Kilobyte
606,Keystroke
607,Keyboard
608,Kibibyte
609,KVM Switch
610,Keyboard Shortcut
611,Kerning
612,Keywords
613,Keylogger
614,KDE
615,KOffice
616,Kilohertz
617,Kindle
618,Kilobit
619,LAN
620,Latency
621,LCD
622,Link
623,Linux
624,LISTSERV
625,Login
626,LDAP
627,Localhost
628,Leet
629,Leaf
630,Logic Gate
631,Leaderboard
632,LPI
633,Lossy
634,Lossless
635,Laser Printer
636,LUN
637,Load Balancing
638,Laptop
639,LIFO
640,LED
641,LinkedIn
642,Log File
643,Log On
644,Left-Click
645,Logic Error
646,Leopard
647,Lion
648,LTE
649,LAMP
650,Lag
651,Lightning
652,Lead
653,Long
654,Loop
655,Lua
656,Leading
657,LFN
658,Lazy Loading
659,Megabyte
660,Megahertz
661,MIDI
662,Mirror
663,Modem
664,MP3
665,MPEG
666,Meta Tag
667,Multimedia
668,Mainframe
669,MIPS
670,Motherboard
671,Macintosh
672,Mac OS
673,Malware
674,Multiplatform
675,Media
676,MCA
677,Mini DV
678,MySQL
679,Mouse
680,Mbps
681,Menu Bar
682,MAC Address
683,Memory
684,Mebibyte
685,Meta Search Engine
686,Metadata
687,Metafile
688,Moodle
689,Memory Stick
690,Mnemonic
691,Mirrored Volume
692,Monitor
693,MySpace
694,MANET
695,MTU
696,Macro
697,Megapixel
698,Mashup
699,Memory Module
700,Memory Leak
701,Mount
702,Multitasking
703,Multithreading
704,Multiprocessing
705,Maximize
706,Minimize
707,Memory Bank
708,Modifier Key
709,Multi-Core
710,Motion Tween
711,Middleware
712,Monochrome
713,Media Compression
714,Method
715,Multicasting
716,Markup Language
717,MMS
718,Mouse Pad
719,Meme
720,MBR
721,Margin
722,Mountain Lion
723,Minisite
724,Minicomputer
725,Microcomputer
726,MAMP
727,Microphone
728,Matrix
729,Megabit
730,Mavericks
731,Microblogging
732,MDI
733,Molex Connector
734,MIS
735,Micron
736,Microkernel
737,Media Queries
738,Mobile
739,Mail Server
740,MHL
741,MVC
742,Microsoft
743,MAN
744,Mojave
745,Machine Language
746,Minification
747,Netiquette
748,Network
749,Newbie
750,Newsgroup
751,NIC
752,NNTP
753,NTFS
754,NAT
755,Nybble
756,Null
757,Null Character
758,Node
759,NetBIOS
760,Native File
761,NOC
762,Name Server
763,Network Topology
764,Northbridge
765,NAS
766,Netmask
767,Num Lock
768,Non-Impact Printer
769,NVRAM
770,Newline
771,Navigation Bar
772,Nanometer
773,NUI
774,Namespace
775,NoSQL
776,NSP
777,NINO
778,NOS
779,NMS
780,NFC
781,Natural Number
782,NaN
783,N-Key Rollover
784,OCR
785,OEM
786,OpenGL
787,Operating System
788,Optical Media
789,Online
790,Offline
791,OLAP
792,Optical Drive
793,ODBC
794,OLE
795,OS X
796,OSPF
797,Open Firmware
798,Output
799,OASIS
800,Outbox
801,Overclocking
802,OOP
803,Output Device
804,Open Source
805,OSD
806,Optical Carrier
807,OSI Model
808,Overwrite
809,Office
810,Opacity
811,OLED
812,OpenCL
813,OTT
814,OTA
815,Processor
816,Packet
817,Parallel Port
818,Partition
819,PCI
820,PCMCIA
821,PDF
822,Ping
823,PNG
824,Port
825,Portal
826,PPP
827,Protocol
828,PHP
829,PDA
830,Perl
831,PPGA
832,Proxy Server
833,PIM
834,Plug-in
835,Pixel
836,Parse
837,Platform
838,Pipeline
839,Paste
840,Power User
841,PPC
842,Phishing
843,Petabyte
844,Peripheral
845,Payload
846,PRAM
847,Plain Text
848,P2P
849,Pharming
850,Pebibyte
851,Process
852,Password
853,PostScript
854,PCB
855,Progressive Scan
856,POP3
857,Permalink
858,Prebinding
859,PCI-X
860,PCI Express
861,PPTP
862,Plug and Play
863,Power Cycle
864,PPI
865,PC
866,PPL
867,Page View
868,Podcast
869,PMU
870,PPM
871,Program
872,PowerPoint
873,Piconet
874,PS/2
875,Piracy
876,Push
877,Pop-Up
878,Primary Key
879,Pseudocode
880,Printer
881,Power Supply
882,Path
883,Page Orientation
884,Peopleware
885,PROM
886,Petaflops
887,Phreaking
888,Python
889,PPPoE
890,Page Layout
891,Personal URL
892,Parameter
893,Plagiarism
894,Passive-Matrix
895,Parity Bit
896,Parity
897,PUP
898,PUM
899,Programming Language
900,Pretest
901,Pinterest
902,Public Domain
903,POST
904,Primary Memory
905,Print Server
906,Processor Core
907,PON
908,PPS
909,Page Fault
910,Plotter
911,Proprietary Software
912,Parked Domain
913,Passphrase
914,Passcode
915,Portable Software
916,PDU
917,PoE
918,Processing
919,Projector
920,PAN
921,QuickTime
922,QWERTY
923,Queue
924,QBE
925,Quad-Core
926,Query
927,QR Code
928,RAM
929,Registry
930,Resolution
931,RGB
932,RISC
933,ROM
934,Router
935,RTF
936,Root
937,RDRAM
938,Runtime
939,RAID
940,Readme
941,RSS
942,Remote User
943,Remote Access
944,Raw File
945,Raw Data
946,RUP
947,Raster Graphic
948,Rich Text
949,Right Click
950,Ruby
951,Recursion
952,Recursive Function
953,Ripcording
954,Refresh Rate
955,RPC
956,RDF
957,RTE
958,RADCAB
959,Real-Time
960,RPM
961,Refresh
962,Remote Desktop
963,Rosetta
964,Recycle Bin
965,RFID
966,Reimage
967,Real Number
968,Rootkit
969,Restore
970,Ripping
971,Row
972,RJ45
973,Reciprocal Link
974,Repository
975,Repeater
976,Redundancy
977,Retina Display
978,Ribbon
979,Runtime Error
980,Record
981,Read-only
982,Regular Expression
983,Responsive Web Design
984,Register
985,Root Directory
986,Rendering
987,Relational Database
988,Ransomware
989,Resistor
990,RDBMS
991,RIP
992,Rational Number
993,SCSI
994,SDRAM
995,Search Engine
996,Server
997,Shareware
998,Slashdot
999,Spam
1000,Streaming
1001,System Unit
1002,SQL
1003,SIMM
1004,Systray
1005,SMART
1006,Skin
1007,Stack
1008,SMTP
1009,Spyware
1010,Serial Port
1011,sRGB
1012,Safe Mode
1013,SD
1014,SEO
1015,Socket
1016,SATA
1017,System Requirements
1018,SMS
1019,Switch
1020,System Software
1021,String
1022,SOAP
1023,Sector
1024,Shell
1025,Skyscraper
1026,Spider
1027,Standalone
1028,Script
1029,System Hardening
1030,SSL
1031,Solid State
1032,System Resources
1033,SDSL
1034,SSID
1035,Spreadsheet
1036,SLI
1037,SNMP
1038,Source Code
1039,Superscalar
1040,SMB
1041,Samba
1042,SOA
1043,Smartwatch
1044,SO-DIMM
1045,Site Map
1046,SSH
1047,Soft Token
1048,Sample
1049,Sampling
1050,Screenshot
1051,Snapshot
1052,Storage Device
1053,Software
1054,Surge Protector
1055,Service Pack
1056,SRAM
1057,Scrolling
1058,Scroll Bar
1059,Scroll Wheel
1060,Syntax
1061,Standby
1062,Subnet Mask
1063,System Analyst
1064,Spoofing
1065,SKU
1066,Soft Copy
1067,Social Networking
1068,Status Bar
1069,SAN
1070,Southbridge
1071,Sound Card
1072,Spool
1073,Spooling
1074,Scanner
1075,Snippet
1076,SERP
1077,Shift Key
1078,Sync
1079,Static Website
1080,Storage Capacity
1081,Subdirectory
1082,Supercomputer
1083,Secondary Storage
1084,Speakers
1085,SDK
1086,Smartphone
1087,SMM
1088,SSD
1089,Scalable
1090,SaaS
1091,Session
1092,Start Menu
1093,Sidebar
1094,Scraping
1095,Sprite
1096,Simplex
1097,Syntax Error
1098,Smishing
1099,SIP
1100,Swipe
1101,Scareware
1102,SLA
1103,Servlet
1104,Snow Leopard
1105,Surface
1106,Secondary Memory
1107,SYN Flood
1108,Schema
1109,Social Media
1110,Symbolic Link
1111,Speech Recognition
1112,Swap File
1113,Silent Install
1114,Smart Home
1115,Spellcheck
1116,SDLC
1117,System Preferences
1118,Subscript
1119,Superscript
1120,SIM Card
1121,Sample Rate
1122,SoC
1123,Struct
1124,Set
1125,Social Engineering
1126,Snapchat
1127,SPX
1128,Sass
1129,Sandboxing
1130,SPF
1131,Swift
1132,Sierra
1133,Stylus
1134,Seed
1135,Screen Burn
1136,Serial Number
1137,SRM
1138,Screen Tearing
1139,T1
1140,T3
1141,Tape Drive
1142,TCP/IP
1143,Telnet
1144,Terabyte
1145,TIFF
1146,Token
1147,Trinitron
1148,Text Editor
1149,Template
1150,TWAIN
1151,TTL
1152,TFT
1153,Tag
1154,Thread
1155,Trojan Horse
1156,Typeface
1157,Tiger
1158,Thin Client
1159,Toolbar
1160,Tweak
1161,Task Bar
1162,Thyristor
1163,Thick Client
1164,Tebibyte
1165,Toslink
1166,Tutorial
1167,Truncate
1168,Throughput
1169,Tooltip
1170,Traceroute
1171,Terminal
1172,Tunneling
1173,Torrent
1174,Title Bar
1175,Target Disk Mode
1176,Twitter
1177,Tweet
1178,Trackback
1179,Telecommunications
1180,Third Party
1181,Trash
1182,Troubleshooting
1183,Trackball
1184,Technology Services
1185,Teraflops
1186,Toggle Key
1187,Thumbnail
1188,Terahertz
1189,Text Alignment
1190,Tablet
1191,Touchscreen
1192,Troll
1193,Table
1194,Thermistor
1195,Thunderbolt
1196,Transistor
1197,Text Box
1198,TFTP
1199,TRIM
1200,Tumblr
1201,Teleconference
1202,Tab
1203,Typecasting
1204,TCP
1205,Touchpad
1206,Telehealth
1207,Tracking
1208,UDP
1209,Ultra DMA
1210,Unix
1211,Upload
1212,URL
1213,USB
1214,UML
1215,UNC
1216,Utility
1217,U
1218,Username
1219,UPnP
1220,UPS
1221,UDDI
1222,URI
1223,Unmount
1224,User Interface
1225,Undo
1226,Unfriend
1227,UGC
1228,Unicode
1229,UTF
1230,UAT
1231,User-Friendly
1232,USB-C
1233,UEFI
1234,UICC
1235,Usenet
1236,UWP
1237,User Space
1238,UPC
1239,Ultrabook
1240,Uptime
1241,Veronica
1242,VPN
1243,VRAM
1244,VRML
1245,VLB
1246,VGA
1247,Virus
1248,VFAT
1249,VCI
1250,VPI
1251,Virtual Memory
1252,Virtual Reality
1253,Vector
1254,Vector Graphic
1255,Volume
1256,VoIP
1257,Vertical Market Software
1258,Video Card
1259,Visual Basic
1260,VLE
1261,VDU
1262,Virtualization
1263,Vaporware
1264,Viral
1265,Version Control
1266,Vlog
1267,Variable
1268,VDSL
1269,Virus Definition
1270,VLAN
1271,VPS
1272,Virtual Machine
1273,Web Browser
1274,WAIS
1275,WAN
1276,Web Ring
1277,Website
1278,Webmaster
1279,WWW
1280,Wizard
1281,WHOIS
1282,Win32
1283,Web Page
1284,White Paper
1285,Wi-Fi
1286,Windows
1287,Wiki
1288,Winsock
1289,Worm
1290,Web Host
1291,Windows XP
1292,Waveform
1293,WEP
1294,WPA
1295,Wireless
1296,Word Wrap
1297,Widget
1298,Word Processor
1299,Workstation
1300,Windows Vista
1301,Webmail
1302,Window
1303,WordArt
1304,Web 2.0
1305,Webcam
1306,WYSIWYG
1307,WiMAX
1308,Windows 7
1309,W3C
1310,Wildcard
1311,White Balance
1312,Whitelist
1313,Web Forum
1314,Web Server
1315,Web Publishing
1316,Wavelength
1317,Word
1318,WINS
1319,Windows 8
1320,Windows RT
1321,Wired
1322,Web Design
1323,Web Development
1324,Warm Boot
1325,WAVE
1326,WDDM
1327,WAMP
1328,WordPress
1329,Web Application
1330,WIMP
1331,Windows 10
1332,Wireframe
1333,WLAN
1334,Wardriving
1335,Webhook
1336,Web Service
1337,Web Beacon
1338,Whole Number
1339,XML
1340,XHTML
1341,X86
1342,XSLT
1343,XMP
1344,XAML
1345,Y2K
1346,Yottabyte
1347,Yobibyte
1348,Yahoo!
1349,YouTube
1350,Yosemite
1351,Zip
1352,ZIF
1353,Zettabyte
1354,Zebibyte
1355,Zone File
1356,Zero Day Exploit
