,index,company,country,date,link,location,sallary,summary,title,text
47,0,"

        Deloitte",USA,15 days ago,https://www.indeed.com/rc/clk?jk=050f7d7a9d9bd424&fccid=9e215d88a6b33622&vjs=3,"Washington, DC 20003 (Capitol Hill area)",,"
            1+ years of experience in Smart Contracts and consensus algorithms and developing blockchain applications or proof-of-concepts (POCs) using Hyperledger Fabric,...","
Blockchain Engineer
","Do you want to build your brand by working for a leading consulting firm that drives eminence in the marketplace? Are you interested in leveraging your analytical skills and strategic ideas to improve mission execution? If so, Deloitte could be the place for you! Our Federal Strategy and Analytics team brings deep industry expertise, rigorous analytical capabilities and a pragmatic mindset to help solve our client’s most complex business problems. Join our team, and play a key role in helping to design our clients’ roadmap to the future and help transform the Federal marketplace.

As a Blockchain Engineer within our Analytics team, you will:
• None Perform project tasks independently, and may direct the efforts of others
• None Participate in and/or lead the development of deliverable content that meets the needs of the client and contract
• None Anticipate client needs and formulate solutions to client issues
• None Contribute to new business proposals and proposal development
• None Manages own personal and professional development; seeks opportunities for professional growth and expansion of consulting skills and experiences

The ideal candidate will have a background in distributed systems and application development and, ideally in blockchain technologies. Working with an integrated technical team, the ideal candidate will work with the architect and other engineers to design and develop scalable, secure distributed ledger technology solutions for clients.

In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.

The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.

Analytics & Cognitive will work with our clients to:
• None Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights leveraging cloud-based platforms
• None Leverage automation, cognitive and science-based techniques to manage data, predict scenarios and prescribe actions
• None Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and improvements
• 3+ years with hands on coding experience in two or more of the following: C++, Java, Python, GoLang, JavaScript, node.js, JSON
• 1+ years of experience in Smart Contracts and consensus algorithms and developing blockchain applications or proof-of-concepts (POCs) using Hyperledger Fabric, Hyperledger Sawtooth, Ethereum or other blockchain protocols

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center.

At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.

Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives. Learn more about Life at Deloitte.

Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte’s impact on the world.

We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals."
48,1,"

        IBM",USA,16 days ago,https://www.indeed.com/rc/clk?jk=a46c5d48d4670b00&fccid=de71a49b535e21cb&vjs=3,United States,,"
            Some experience developing Blockchain applications using Hyperledger, Ethereum Solidity, Corda, Ripple or other proprietary language and APIs....","
Blockchain Architect
","
• Build consumer-ready applications. You will work together with clients and team to build custom solutions, proof-of-concepts, and production deployments across industry domains and technology stacks. You will code in various languages such as Javascript, Golang, Java to meet the needs of the project. You will be consulted for your expertise in at least one language and one domain.
• Lead empowered teams. You will strategically lead the conception, design, and implementation of technical solutions. You should be excited to mentor, influence, and lead others on your project to successful delivery.
• Solve new problems. Working in blockchain means solving technical problems that have not been solved before. You will develop innovative solutions in distributed ledger technology and become well-versed in new technologies in the evolving blockchain space.
• Engage with the client. You will often be the primary point of contact for all technical issues and concerns with the client.
• Learn fast and think big. You will have to pick up new technologies as needed and understand business problems across industries (supply chain, financial services, public sector). Almost every blockchain solution is only one piece of a much bigger picture; you will be tuned into the micro details and the macro vision to ideate on how a solution can be scaled, sustained, packaged, or reused.
• Finding the dream job at IBM: navigating our company with the potential for many careers by channeling an employee’s strengths and career aspirations
• At least 5 years of experience in designing, building, and supporting application systems.
• Expertise in at least one programming language (i.e. Javascript, Golang, Java, Python) and one industry domain (i.e. Financial Markets, Healthcare, Supply Chain, etc...) Two or more preferred.
• Experience in four of the following categories at minimum:
• Some experience developing Blockchain applications using Hyperledger, Ethereum Solidity, Corda, Ripple or other proprietary language and APIs.
• Involvement in developer community groups and open source contributions. Experience speaking or leading discussion for groups preferred

Do you have a passion for coding on cutting edge technology? Are you ready to take your Blockchain technology expertise to the next level? Do you like travel? Are you self-motivated and seek to explore new technologies? Apply now!IBM Global Business Services (GBS) is hiring strong Senior Consultant Developers who develop technical solutions to solve clients problems in various industries on one or more of the Blockchain Technology platforms, such as Hyperledger, Ethereum, and Ripple. Other equivalent proprietary platform experience may be considered. Whether you are a UX developer or a backend developer or a full-stack developer, you will have an opportunity to take your skills and career to next level.We are looking for Developers who live in the New York City, Jersey City, NJ, Dallas, Chicago and Baton Rouge, however we are open to candidates in who live within a 50 mile radius to a major metro airport. You will have the opportunity to interact directly with clients and will be required to travel up to 75%.IWDGBS18Health Insurance. Paid time off. Corporate Holidays. Sick leave. Family planning. Financial Guidance. Competitive 401K. Training and Learning. We continue to expand our benefits and programs, offering some of the best support, guidance and coverage for a diverse employee population.Our goal is to be essential to the world, which starts with our people. Company wide we kicked off an internal talent strategy program called Go Organic. At our core, we are committed to believing and investing in our workforce through:With an employee population of 375,000 in over 170 countries, amazingly we connect, collaborate, and care. IBMers drive a corporate culture of shared responsibility. We love grand challenges and everyday improvements for our company and for the world. We care about each other, our clients, and the communities we live, work, and play in!#adaytorefer IWDGBS18 IWD18&AIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
49,2,"
        Kolla Soft",USA,16 days ago,https://www.indeed.com/rc/clk?jk=f363755246ef1a41&fccid=7390deb56396d1e7&vjs=3,"Phoenix, AZ 85003 (Central City area)",,"
            Experience in developing DApps (decentralized applications) using public blockchain like Ethereum or permissioned blockchains like Hyperledger, Corda etc....","
J2EE/Node.js Engineer (Crypto / Blockchain)
","You won’t just shape the world of software. You’ll shape the world of life, work and play.

 

 Join the Blockchain revolution at our Fortune 100 company. Be a part of the intrapreneurial team of pioneers and highly technical engineers, designing and building the enterprise Blockchain platform with a mission to tokenize the assets and transform the value exchange. This group is nimble and creative with the power to shape our Technology and Product roadmap. If you have the talent and desire to deliver innovative capabilities and services at a rapid pace, serving our customers seamlessly across physical, digital, mobile, and social media, join our Enterprise Blockchain Platform engineering team!

 

 You will be part of a fast-paced engineering team responsible for delivering capabilities developed on Blockchain technology with identifying innovative ideas and proof of concept to deliver against the existing and future needs of our customers across the globe.

 

 Responsibilities include, but are not limited to:
• Lead with ""People First"" principle and empathy for our colleagues and customers
• Continuously learn about the rapidly evolving Blockchain technology, innovate, and contribute in shaping the journey of our platform architecture and services
• Designs and builds integration components and interfaces in a highly collaborative and cross-functional team environment
• Deliver high quality code with a strong sense of ownership in I5 culture (I design, I write, I test, I automate, I support).
• Profile the code and perform unit, integration, and performance testing of all the software components
• Continuously learn new technologies and refactor the code to improve product and customer experience
• Be a change agent, technology evangelist, and innovator to introduce new ideas, tools and technologies to build new products, enhance value delivery pipeline and transform customer experience.
• Are you up for the challenge?
• Solid experience in at least in one of the popular programming languages: Java, JavaScript, Python, or Go
• At least 3+ years of hands-on experience in full-stack development with J2EE, NodeJS, REST, Docker, Kubernetes, NoSQL databases etc.
• Testing and automation framework and tools experience: CI/CD, Virtualization/automation, Jenkins, JMeter, JUnit, TestNG, Selenium, Mocking frameworks, Jasmine, Chai, Mocha etc.
• Expertise in public key cryptography, API security and other advanced cryptographic concepts.
• Experience in developing DApps (decentralized applications) using public blockchain like Ethereum or permissioned blockchains like Hyperledger, Corda etc."
50,3,"

        Armanino",USA,17 days ago,https://www.indeed.com/rc/clk?jk=7817ab1fec2c04c9&fccid=31e0b6bcba110bbc&vjs=3,"San Ramon, CA 94583",,"
            Experience with Blockchain frameworks such as Ethereum and Hyperledger are highly desired along with a required passion for getting hands dirty with code....","
Solutions Architect
","We are looking for a motivated Solution Architect to join our emerging team on the front lines of innovation at Armanino. While many public accounting firms are talking about Blockchain and Cryptocurrency, Armanino is already turning hype into reality by delivering a growing set of innovative solution offerings to some of the largest players in the space.

If you are an individual who is self-directed, determined, and passionate about technological disruption, we think you would be a perfect addition to our growing team. We strive to work with clients to define their Blockchain innovations, lead strategy development, and build solutions that will be critical to their long-term success.

You will help design, develop and support distributed ledger solutions and apply them to strategic efforts internally and externally. As a technology architect you will be responsible for architecting, setting up, managing, and evangelizing the tools and processes."
51,4,"
        Tierion",USA,16 days ago,https://www.indeed.com/rc/clk?jk=42f6a70ace509712&fccid=1f30db6b86065b65&vjs=3,"San Francisco, CA",,"
            Experience working with Bitcoin, Ethereum, or other blockchain tech. Tierion’s mission is to replace trust with proof....","
Senior Backend Engineer
","About Tierion 

Tierion’s mission is to replace trust with proof. We see a future where the blockchain is the trust anchor for the world’s data. We started by creating Chainpoint, an open protocol for anchoring data to the Bitcoin blockchain. Next, we launched the Chainpoint Network; a global proof engine that can verify the integrity and timestamp of any data, file, or business process. Today we’re focused on advancing Chainpoint and building Proof. 



 Job Description 

As a Senior Backend Engineer, you’ll help build Chainpoint and Proof. You’ll be part of an experienced team that cares deeply about building great software, and is excited about working at the forefront of the blockchain industry. You've mastered Node.js and have experience with distributed systems, microservices architecture, REST APIs, and software library development. 



 Responsibilities 

Build, test and ship software using modern tools like Node.js, CockroachDB, Postgres, RabbitMQ, Redis, Consul. 

Work with our leadership to turn our product and technical vision into a tangible roadmap every quarter. 

Add positive energy, and help make your team members better developers. 

Requirements 

You have at least 4 years full-time Node.js development 

You’ve designed, built, scaled and maintained production services 

You have a strong grasp of distributed system development and micro-service architectures 

You’re a master of asynchronous programming using (/async/await, etc.) 

You’ve designed and developed HTTP REST APIs 

You have strong test oriented development using Mocha, or similar testing frameworks for API unit and Integration tests 

You’re comfortable operating in dynamic environments, and are self-directed 

Nice to haves 

Experience working with Bitcoin, Ethereum, or other blockchain tech 

Experience with cryptography 

Experienced in Front-end UI/Javascript development using modern frameworks 

Experience with Docker, Docker-Compose or Kubernetes 

Experience building applications on Google Cloud 

What We Offer 

Everyone at Tierion works hard and has a lot of fun. Our beautiful office overlooks the bay in San Francisco. Tierion provides competitive salaries, equity, and full benefits. 



 Tierion covers 100% of medical/vision/dental for employees 

Commuter benefits (up to $260/month for employees in our SF office) 

401K plan with 100% matching 

Flexible work hours 

Flexible vacation schedule 

Re-location support 

How to Apply 



 Send us the following:

 Links to your GitHub/Stack Overflow or something that you've built 

A brief answer to the following question: What have you built that you’re most proud of? 

Your resume or LinkedIn profile 

Tierion does not provide visa sponsorship. 



 We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. 



 Skills 

Node.js, Rabbitmq, Redis, PostgreSQL, CockroachDB, Consul, Docker, Blockchain, Microservices 

Compensation 

$150K - $190K 

Want to apply?"
52,5,"

        VMware",USA,16 days ago,https://www.indeed.com/rc/clk?jk=fcd77c7dfdea300e&fccid=c762a27145bd166e&vjs=3,"Palo Alto, CA 94304",,"
            Experience with Ethereum, Hyperledger a plus. Blockchain is an emerging technology that promises to change the world we live in....","
Blockchain Senior DevOps Engineer
","Blockchain is an emerging technology that promises to change the world we live in. With VMware’s vast experience in building highly trusted distributed systems we have been doing advanced research in this space for several years. We are now building out a team of highly skilled engineers to build on this research for VMware.
• Contribute to the implementation of a blockchain environment including but not limited to the consensus layer, distributed ledger, and smart contracts layer. This could include dealing with the data layer, the security layer, or a distributed network layer.
• Contribute to the implementation of a SaaS service that manages and monitors blockchain replica
• Contribute to the implementation of a deployment service that deploys blockchain replicas across clouds
• Collaborate effectively with other engineers to solve complex problems.
• Assist with debugging and verification of defects in your own and others' work
• Experience in one of the following disciplines:
• Experience in mainstream programming languages such as Java/C/C++.
• Exposure to multiple programming languages is desired, as the ability to pick up and use the language that suits a body of work is expected"
53,6,"
        Tierion",USA,16 days ago,https://www.indeed.com/rc/clk?jk=e53e6353c949e4de&fccid=1f30db6b86065b65&vjs=3,"San Francisco, CA",,"
            Experience working with Bitcoin, Ethereum, or other blockchain tech. Tierion’s mission is to replace trust with proof....","
Senior DevOps Engineer
","About Tierion 

Tierion’s mission is to replace trust with proof. We see a future where the blockchain is the trust anchor for the world’s data. We started by creating Chainpoint, an open protocol for anchoring data to the Bitcoin blockchain. Next, we launched the Chainpoint Network; a global proof engine that can verify the integrity and timestamp of any data, file, or business process. Today we’re focused on advancing Chainpoint and building Proof. 



 Job Description 

As a Senior DevOps Engineer, you’ll help architect and manage the infrastructure behind Chainpoint and Proof. You’ll be part of an experienced team that cares deeply about building great software, and is excited about working at the forefront of the blockchain industry. We don’t consider DevOps a backend function at Tierion. It’s vital part of delivering a positive experience to developers and end users. 



 Responsibilities 

Build, test and manage infrastructure and code using modern tools. 

Design and build new infrastructure environments using modern best practices for infrastructure as code, CI/CD, security, and performance. 

Handle release management and code deployment. 

Troubleshoot and resolve production issues. 

Requirements 

You have at least 5 years DevOps experience 

You have at least 2 years of experience with Google Cloud, AWS, or Azure. 

Expertise with Git, Google Cloud, Docker, Kubernetes, and Ubuntu and Alpine Linux. 

Strong skills with tooling such as Bash shell scripting, Systemd, and Make. 

You’ve implemented and managed complex micro-service architectures. 

You’re comfortable operating in dynamic environments, and are self-directed. 

Nice to haves 

Infrastructure as code using tools like Teraform, Ansible, Chef, etc. 

Experience with CockroachDB, RocksDB, Redis, PostgreSQL 

Experience working with Bitcoin, Ethereum, or other blockchain tech 

Experience with cryptography 

In case you are wondering, we’re powered by Node.js, CockroachDB, PostgreSQL, RabbitMQ, Redis, and Consul. We keep everything glued together with Docker, Docker Compose, and Kubernetes. 



 What We Offer 

Everyone at Tierion works hard and has a lot of fun. Our beautiful office overlooks the bay in San Francisco. Tierion provides competitive salaries, equity, and full benefits. 



 Tierion covers 100% of medical/vision/dental for employees 

Commuter benefits (up to $260/month for employees in our SF office) 

401K plan with 100% matching 

Flexible work hours 

Flexible vacation schedule 

Re-location support 

How to Apply 



 Send us the following:

 Links to your GitHub/Stack Overflow or something that you've built 

A brief answer to the following question: What have you built that you’re most proud of? 

Your resume or LinkedIn profile 

Tierion does not provide visa sponsorship. 



 We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. 



 Skills 

Git, Google Cloud, Docker, Kubernetes, Ubuntu, Alpine Linux 

Compensation 

$150K - $180K 

Want to apply?"
54,7,"

        IBM",USA,16 days ago,https://www.indeed.com/rc/clk?jk=acceedaf647c94a3&fccid=de71a49b535e21cb&vjs=3,United States,,"
            Some experience developing Blockchain applications using Hyperledger, Ethereum Solidity, Corda, Ripple or other proprietary language and APIs....","
Sr. Consultant - Full Stack Blockchain Developer
","
• Build consumer-ready applications. You will work together with clients and team to build custom solutions, proof-of-concepts, and production deployments across industry domains and technology stacks. You will code in various languages such as Javascript, Golang, Java to meet the needs of the project. You will be consulted for your expertise in at least one language and one domain.
• Solve new problems. Working in blockchain means solving technical problems that have not been solved before. You will develop innovative solutions in distributed ledger technology and become well-versed in new technologies in the evolving blockchain space.
• Learn fast and think big. You will have to pick up new technologies as needed and understand business problems across industries (supply chain, financial services, public sector). Almost every blockchain solution is only one piece of a much bigger picture; you will be tuned into the micro details and the macro vision
• Finding the dream job at IBM: navigating our company with the potential for many careers by channeling an employee’s strengths and career aspirations
• At least 2 years of experience in designing, building, and supporting application systems
• At least 2 years of experience in four of the following categories at minimum:
• Familiarity with code and architecture design principles (clean code, RESTful APIs, SOLID, object-oriented vs functional, microservices vs. monolith, etc)
• Some experience developing Blockchain applications using Hyperledger, Ethereum Solidity, Corda, Ripple or other proprietary language and APIs.

Do you have a passion for coding on cutting edge technology? Are you self-motivated and seek to explore new technologies? Are you ready to take your Blockchain technology expertise to the next level?IBM Global Business Services (GBS) is hiring strong Developers who develop custom technical solutions to solve clients problems in various industries on one or more of the Blockchain Technology platforms, such as Hyperledger, Ethereum, Corda, Axoni and Ripple. Other equivalent proprietary platform experience may be considered.We are looking for Developers who live in the New York City, Dallas, and Baton Rouge areas, however we are open to candidates in who live within a 50 mile radius to a major metro airport. You will have the opportunity to interact directly with clients and will be required to travel up to 75%.Global Business Services helps leaders transform their businesses with dedicated expertise in eighteen industries. Around the world, IBMers’ expertise in advanced research, analytics and technology helps clients envision the future and succeed. It’s exciting work to innovate with others and make the world work better—and a great opportunity for you. At IBM, the candidate will help us make markets by transforming industries and professions with data. They will work to remake enterprise IT for the era of cloud, enable “systems of engagement” for enterprises, and lead by example. Don’t join a consulting firm, join IBM.Health Insurance. Paid time off. Corporate Holidays. Sick leave. Family planning. Financial Guidance. Competitive 401K. Training and Learning. We continue to expand our benefits and programs, offering some of the best support, guidance and coverage for a diverse employee population.Our goal is to be essential to the world, which starts with our people. Company wide we kicked off an internal talent strategy program called Go Organic. At our core, we are committed to believing and investing in our workforce through:With an employee population of 375,000 in over 170 countries, amazingly we connect, collaborate, and care. IBMers drive a corporate culture of shared responsibility. We love grand challenges and everyday improvements for our company and for the world. We care about each other, our clients, and the communities we live, work, and play in!#adaytorefer IWDGBS18 IWD18&AIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
55,8,"

        General Electric",USA,15 days ago,https://www.indeed.com/rc/clk?jk=5f9131f9aba6c21c&fccid=c5c99ec01e2125aa&vjs=3,"San Ramon, CA 94583",,"
            2+ years in experience of dApp development using either Ethereum, Hyperledger platform or other enterprise blockchain implementations....","
Staff Software Engineer - Blockchain
","#DTR

 

 About Us:

 GE (NYSE:GE) drives the world forward by tackling its biggest challenges. By combining world-class engineering with software and analytics, GE helps the world work more efficiently, reliably, and safely. GE people are global, diverse and dedicated, operating with the highest integrity and passion to fulfill GE’s mission and deliver for our customers. www.ge.com

 GE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, gender (including pregnancy), sexual orientation, gender identity or expression, age, disability, veteran status or any other characteristics protected by law.

 

 Locations: United States; Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Open to all US locations



GE will only employ those who are legally authorized to work in the United States for this opening."
56,9,"

        EY",USA,20 days ago,https://www.indeed.com/rc/clk?jk=8745405d2ab45d10&fccid=1544766d4c2915b0&vjs=3,"Seattle, WA",,"
            You will lead work flows and teams of developers to design and develop applications in different blockchain platforms such as Hyperledger, Ethereum, Bitcoin and...","
Connected Growth Platform - Blockchain Solution Architect
","The Connected Growth Platform supports our strategy to become the most connected, responsive and insightful consulting firm. The CGP will focus on managed services, digital and emerging technologies (including cyber), service delivery centers, EY wavespace™ and select system implementation practices. The CGP capabilities will be infused into our service offerings and go-to-market execution to provide our clients with cross-sector insights and integrated capabilities across all government and public sector, commercial and financial services sectors in the US. This integration will allow us to move faster, work smarter, and achieve more with our clients.



You will be a part of the US CGP Blockchain team, an innovative and collaborative group of technical developers, cryptographers, mathematicians and business strategists who are dedicated to the application of blockchain technology and the development of world-class products. At EY, you will help our clients, some of the most influential companies, explore emergent applications and transform the way the world does business.

You will have the opportunity to drive the creation of products or assets built on Blockchain technologies and to enable high-value offerings in one or more of our Service Lines. Many offerings, solutions or enablement tools based on Blockchain technologies will require modifications to existing or net new, business models to monetize the value provided. You will support the design and implementation of appropriate new models. You will lead work flows and teams of developers to design and develop applications in different blockchain platforms such as Hyperledger, Ethereum, Bitcoin and other distributed computing environments. You will develop business opportunities, working with subject matter experts from Advisory, Assurance, and Tax service lines.

Blockchain technology is a complex emerging capability that is far from mature. Above and beyond any of the “essential” skills for this job, you must have a love of learning and experimentation with new technologies and a passion for learning by doing and leading by example. If you consider yourself an open source enthusiast, a hobbyist in development or a best in class product developer with a desire to gain knowledge in an emerging market, please apply.
• Lead clients to define overall requirements, matching business requirements to functional requirements, and prioritize functionality.
• In collaboration with service line and account teams, develop collateral materials and other sale assets, meet with account teams and clients, align technical support with account and engagement teams, generally support and enable sales to ‘charter’ accounts.
• For successful prototypes, develop MVP requirements with domain experts; collaborate with Blockchain specialists, engineers and solution development leadership and shepherd the development
• Keep up to date on emerging capabilities in this fast-growing area and identify where and how new capabilities can be applied.
• Contribute to EY’s internal knowledge base on best practices in this emerging technology area. Develop thought leadership content representing EY’s POV on Blockchain applications to internal and external stakeholders.
• Drive the process to mature promising concepts into prototypes which can be leveraged in the marketplace.
• Effectively manage and motivate client engagement teams with diverse skills and backgrounds fostering an innovative and inclusive work environment. Play an active role in counseling and mentoring junior consultants within the organization.

To qualify for the role you must have
• Bachelor's degree and approximately 8 years of related work experience or a graduate degree and approximately 7 years of related work experience.
• Minimum 5 years of experience in application development, preferably on immature platforms and with emerging technologies.
• Previous development experience in Agile teams, ideally with knowledge of TDD environments which are remotely led.
• Understanding of web-scale application development architectures such as SOA and SaaS/PaaS.
• Previous experience of container technologies such as Docker is desirable but not essential.
• Excellent written and verbal communication skills for technical writing and client presentations.
• Demonstrated strategic thinking through a proven ability to research client inquiries and emerging issues related to regulations, industry practice and new application technologies.
• Passionate about technology and applying it to business solutions and interested in Blockchain and associated concepts such as smart contracts.
• Previous experience of tools, deploying and configuring environment in Microsoft Azure is desirable but not essential.

What we look for

We’re interested in self-motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. Someone who can easily function in a collaborative, high demand, performance-driven environment. In addition we’re looking for people who recognize the accomplishments of the team before the individual and are sought after as people developers. If you’re passionate about problem-solving and helping our clients’ with some of their most complex issues, this role is for you.

We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. In addition, our Total Rewards package includes medical and dental coverage, both pension and 401(k) plans, a minimum of 15 days of vacation plus ten observed holidays and three paid personal days, and a range of programs and benefits designed to support your physical, financial and social well-being. Plus, we offer:
• Excellent training and development opportunities through established programs and on-the-job training
• Feedback on your performance that will accelerate your growth

As a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. So that whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.

Join us in building a better working world."
57,0,"

        EY",USA,20 days ago,https://www.indeed.com/rc/clk?jk=8cc0bae66dad7c65&fccid=1544766d4c2915b0&vjs=3,"Seattle, WA",,"
            Previous experience with Ethereum (including Solidity), Hyperledger and/or Bitcoin highly desirable but not essential....","
Connected Growth Platform - Blockchain Developer
","The Connected Growth Platform supports our strategy to become the most connected, responsive and insightful consulting firm. The CGP will focus on managed services, digital and emerging technologies (including cyber), service delivery centers, EY wavespace™ and select system implementation practices. The CGP capabilities will be infused into our service offerings and go-to-market execution to provide our clients with cross-sector insights and integrated capabilities across all government and public sector, commercial and financial services sectors in the US. This integration will allow us to move faster, work smarter, and achieve more with our clients.

You will be a part of the US CGP Blockchain team, an innovative and collaborative group of technical developers, cryptographers, mathematicians and business strategists who are dedicated to the application of blockchain technology and the development of world-class products. At EY, you will help our clients, some of the most influential companies, explore emergent applications and transform the way the world does business.

You will have the opportunity to solve technical problems and provide innovative solutions to build and support client systems, applications on distributed infrastructure platforms like Blockchain. You will be responsible for designing and developing applications in different blockchain platforms such as Hyperledger, Ethereum, Bitcoin and other distributed computing environments.

Blockchain technology is a complex emerging capability that is far from mature. Above and beyond any of the “essential” skills for this job, you must have a love of learning and experimentation with new technologies and a passion for learning by doing and leading by example. If you consider yourself an open source enthusiast, a hobbyist in development or a best in class developer with a desire to gain knowledge in an emerging market, please apply.
• Aptitude to learn how to design and develop in the emerging space of distributing computing applications.
• Continuous research on emerging capabilities in this fast-growing area and identify where and how new capabilities can be applied.
• Ability to translate requirements from architects and product managers into functional code.
• Think through and anticipate how hackers and others may attempt to subvert or misuse applications.
• Contribute to EY’s internal knowledge base on best practices in this emerging technology area.
• None Work effectively with client engagement teams with diverse skills and backgrounds fostering an innovative and inclusive work environment.

To qualify for the role you must have
• Bachelor's degree and approximately 3 years of related work experience in application development, preferably on immature platforms and with emerging technologies, or a graduate degree and approximately 1 years of related work experience.
• Expertise in public key cryptography, Zero Knowledge Proofs, and other advanced cryptographic concepts
• Demonstrable knowledge and experience with JavaScript development, including either
• Demonstrable knowledge and experience with testing frameworks such as Mocha or Jasmine.
• Demonstrable knowledge and experience with database technologies such as NoSQL and SQL.
• Previous development experience in Agile teams, ideally with knowledge of TDD environments which are remotely led.
• Understanding of web-scale application development architectures such as SOA and SaaS/PaaS.
• None Excellent written and verbal communication skills for technical writing and client presentations.
• Previous experience with Ethereum (including Solidity), Hyperledger and/or Bitcoin highly desirable but not essential.
• Previous experience in Go, Python or Bash shell scripting is desirable but not essential.
• Previous experience of container technologies such as Docker is desirable but not essential.
• Previous experience of tools, deploying and configuring environment in Microsoft Azure is desirable but not essential.
• Passionate about technology and applying it to business solutions and interested in Blockchain and associated concepts such as smart contracts.

What we look for

We’re interested in self-motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. Someone who can easily function in a collaborative, high demand, performance-driven environment. In addition we’re looking for people who recognize the accomplishments of the team before the individual and are sought after as people developers. If you’re passionate about problem-solving and helping our clients’ with some of their most complex issues, this role is for you.

We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. In addition, our Total Rewards package includes medical and dental coverage, both pension and 401(k) plans, a minimum of 15 days of vacation plus ten observed holidays and three paid personal days, and a range of programs and benefits designed to support your physical, financial and social well-being. Plus, we offer:
• None Excellent training and development opportunities through established programs and on-the-job training
• None Feedback on your performance that will accelerate your growth

As a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. So that whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.

Join us in building a better working world.

EY, an equal employment opportunity employer (Females/Minorities/Protected Veterans/Disabled), values the diversity of our workforce and the knowledge of our people."
